date,temperature_mean,temperature_max,temperature_min,rainfall,district
2020-12-06,25.48,31.28,21.43,11.95,Balaka
2020-12-07,25.17,30.0,21.7,2.31,Balaka
2020-12-08,24.69,29.41,21.1,8.0,Balaka
2020-12-09,24.75,29.73,21.31,5.85,Balaka
2020-12-10,22.92,26.12,20.68,2.95,Balaka
2020-12-11,24.31,29.02,19.78,6.96,Balaka
2020-12-12,24.42,29.14,21.43,2.87,Balaka
2020-12-13,24.72,28.76,20.41,7.1,Balaka
2020-12-14,24.34,28.41,21.21,4.48,Balaka
2020-12-15,23.14,26.08,19.83,12.28,Balaka
2020-12-16,23.22,26.5,20.44,2.65,Balaka
2020-12-17,23.74,27.36,20.21,2.98,Balaka
2020-12-18,24.96,30.57,20.4,1.09,Balaka
2020-12-19,25.14,31.49,20.54,15.29,Balaka
2020-12-20,24.36,27.95,20.72,2.71,Balaka
2020-12-21,24.3,27.73,21.6,1.43,Balaka
2020-12-22,24.61,28.55,20.5,1.77,Balaka
2020-12-23,26.16,32.12,20.64,0.5,Balaka
2020-12-24,27.28,33.01,21.12,3.02,Balaka
2020-12-25,27.03,32.1,22.56,7.89,Balaka
2020-12-26,25.01,28.53,22.45,4.73,Balaka
2020-12-27,25.55,30.13,21.63,2.9,Balaka
2020-12-28,26.49,31.26,22.01,4.75,Balaka
2020-12-29,24.47,27.7,22.55,21.13,Balaka
2020-12-30,23.88,27.15,21.97,21.21,Balaka
2020-12-31,24.21,28.45,21.64,11.62,Balaka
2021-01-01,24.24,29.13,21.02,9.35,Balaka
2021-01-02,23.78,27.5,20.86,7.87,Balaka
2021-01-03,23.36,27.21,20.36,8.34,Balaka
2021-01-04,23.61,28.03,19.67,8.85,Balaka
2021-01-05,23.97,27.94,21.06,6.04,Balaka
2021-01-06,24.53,28.84,20.97,5.56,Balaka
2021-01-07,25.51,29.77,21.21,1.19,Balaka
2021-01-08,25.5,29.18,22.07,6.82,Balaka
2021-01-09,25.38,29.94,21.19,12.43,Balaka
2021-01-10,25.11,29.52,22.18,19.62,Balaka
2021-01-11,24.03,27.0,21.98,5.83,Balaka
2021-01-12,23.3,25.99,21.67,10.88,Balaka
2021-01-13,23.32,26.5,21.2,24.14,Balaka
2021-01-14,24.43,28.59,21.2,4.96,Balaka
2021-01-15,24.22,28.08,21.07,2.62,Balaka
2021-01-16,24.57,28.07,20.89,6.03,Balaka
2021-01-17,24.36,27.62,21.94,10.65,Balaka
2021-01-18,23.82,26.44,21.72,6.25,Balaka
2021-01-19,24.18,27.64,21.22,17.68,Balaka
2021-01-20,23.81,27.34,21.02,24.94,Balaka
2021-01-21,23.6,26.92,20.99,16.29,Balaka
2021-01-22,22.69,26.17,20.59,103.53,Balaka
2021-01-23,23.51,27.54,20.5,34.57,Balaka
2021-01-24,22.78,25.06,20.9,14.7,Balaka
2021-01-25,22.24,25.77,19.54,4.95,Balaka
2021-01-26,23.13,27.4,18.33,1.97,Balaka
2021-01-27,23.83,27.94,20.02,1.8,Balaka
2021-01-28,24.56,28.55,21.08,10.54,Balaka
2021-01-29,24.4,27.85,21.82,18.32,Balaka
2021-01-30,23.54,27.07,21.1,7.57,Balaka
2021-01-31,23.03,26.52,20.44,2.75,Balaka
2021-02-01,22.71,26.0,20.08,3.33,Balaka
2021-02-02,23.14,27.32,19.6,17.96,Balaka
2021-02-03,24.54,28.22,20.49,0.77,Balaka
2021-02-04,23.79,27.32,21.5,8.44,Balaka
2021-02-05,23.76,27.07,20.24,4.81,Balaka
2021-02-06,24.33,27.94,21.11,3.73,Balaka
2021-02-07,24.3,27.93,21.24,1.46,Balaka
